student_id,name,gender,branch,semester,career_goal,primary_interest,learning_style,family_income,part_time_job,cgpa,prev_semester_cgpa,attendance_percent,study_hours_per_day,sleep_hours_per_day,stress_level,library_visits_per_week,backlogs,internships_completed,projects_completed,certifications,hackathons_participated,extracurricular_activities,performance_label,recommended_courses,programming_score,math_score,circuits_score,mechanics_score,design_score,communication_score,critical_thinking_score
ENG20220010,Kabir Saxena,Male,Aerospace,4,Systems Engineer,Propulsion,Visual,3–6 LPA,0,6.47,6.31,77,4.6,5.1,4,2,0,1,1,4,0,1,Average,Spacecraft Design|Propulsion Systems|Computational Fluid Dynamics,45,65,54,49,69,49,56
ENG20230011,Rohit Menon,Male,Aerospace,6,Propulsion Engineer,Aerodynamics,Visual,6–10 LPA,0,5.8,5.39,74,4.2,6.3,5,0,1,1,2,0,2,2,Below Average,Flight Mechanics|Spacecraft Design|Mission Analysis|Academic Skill Development Workshop|Industrial Internship & Project Management,55,61,40,59,53,50,52
ENG20220012,Mohit Chaudhary,Male,Civil,5,BIM Manager,Structural Design,Visual,6–10 LPA,1,5.02,5.32,75,3.9,7.1,3,2,3,0,0,0,1,2,At Risk,Transportation Engineering|Geotechnical Engineering|Structural Analysis|Python Programming for Engineers|Critical Thinking & Problem Solving|Academic Skill Development Workshop,23,47,9,41,60,47,42
ENG20200013,Namrata Agarwal,Female,Computer Science,1,Software Engineer,Cybersecurity,Auditory,6–10 LPA,0,8.58,8.58,100,8.1,6.7,3,2,0,0,4,5,1,1,Excellent,Cybersecurity|Database Management|Cloud Computing,83,62,37,36,45,80,77
ENG20200014,Vivek Agarwal,Male,Civil,1,Urban Planner,Construction Tech,Reading/Writing,6–10 LPA,0,4.75,4.75,82,4.5,8.9,4,1,3,0,1,0,0,0,At Risk,BIM|Geotechnical Engineering|Environmental Engineering|Python Programming for Engineers|Academic Skill Development Workshop,22,54,16,55,51,50,45
ENG20230015,Kavitha Jain,Female,Mechanical,7,Manufacturing Engineer,3D Printing,Auditory,3–6 LPA,0,5.24,4.81,87,3.4,8.0,3,4,0,0,2,3,2,0,Average,CAD/CAM|Manufacturing Processes|Fluid Mechanics|Python Programming for Engineers|Academic Skill Development Workshop|Industrial Internship & Project Management,25,53,23,46,42,52,52
ENG20210016,Vrinda Kumar,Female,Chemical,3,Petroleum Engineer,Petroleum,Visual,10–20 LPA,0,6.11,6.13,92,4.4,6.5,3,1,1,0,0,1,1,1,Average,Environmental Engineering|Process Control|Green Chemistry|Python Programming for Engineers,30,50,31,35,45,48,51
ENG20230017,Parth Khanna,Male,Electrical,7,EV Engineer,EV Technology,Visual,3–6 LPA,0,6.29,5.88,46,8.9,5.9,3,0,0,2,2,2,1,1,Average,Power Electronics|Smart Grid Technology|Power Systems|Industrial Internship & Project Management,46,54,76,44,43,47,48
ENG20230018,Aryan Bhat,Male,Electronics & Communication,6,RF Engineer,5G Networks,Kinesthetic,6–10 LPA,0,6.39,6.76,80,7.3,8.8,4,1,1,3,2,0,1,1,Average,Embedded Systems|IoT Systems|VLSI Design|Critical Thinking & Problem Solving|Industrial Internship & Project Management,65,61,67,38,43,51,41
ENG20200019,Dhruv Kaur,Male,Information Technology,1,API Engineer,Web Dev,Kinesthetic,3–6 LPA,0,5.42,5.42,65,5.3,8.2,2,7,3,0,1,4,1,0,Below Average,Microservices Architecture|Mobile App Development|Network Security|Academic Skill Development Workshop,70,50,30,31,41,50,54
ENG20210020,Nidhi Mishra,Female,Mechanical,3,R&D Engineer,Robotics,Visual,< 3 LPA,0,5.92,5.9,100,2.7,5.1,3,2,0,1,1,2,1,0,Average,Finite Element Analysis|Thermodynamics|CAD/CAM|Python Programming for Engineers|Technical Communication & Presentation Skills|Critical Thinking & Problem Solving,35,53,38,67,59,38,43
ENG20220021,Shubham Chopra,Male,Mechanical,4,R&D Engineer,Robotics,Auditory,6–10 LPA,0,6.72,6.86,72,9.6,6.2,4,1,2,0,0,3,1,1,Average,Product Design|Manufacturing Processes|Robotics & Automation|Python Programming for Engineers,37,61,30,88,55,62,62
ENG20200022,Khushi Agarwal,Female,Computer Science,1,Software Engineer,AI/ML,Visual,10–20 LPA,0,7.41,7.41,100,6.0,7.4,3,1,0,0,1,3,0,0,Good,Operating Systems|Data Structures & Algorithms|Database Management|Technical Communication & Presentation Skills,81,57,26,24,56,32,61
ENG20200023,Tanya Malhotra,Female,Civil,1,Geotechnical Engineer,Smart Cities,Kinesthetic,3–6 LPA,0,5.94,5.94,76,3.7,6.8,3,1,0,0,0,1,1,0,Average,Structural Analysis|BIM|Environmental Engineering|Python Programming for Engineers|Technical Communication & Presentation Skills|Critical Thinking & Problem Solving,29,61,4,68,65,33,42
ENG20230024,Zubin Chaudhary,Male,Information Technology,7,API Engineer,DevOps,Visual,< 3 LPA,0,6.99,7.09,77,4.7,6.8,2,4,0,0,2,0,0,0,Average,API Design|Microservices Architecture|Network Security|Industrial Internship & Project Management,67,50,39,15,64,57,53
ENG20210025,Chandni Malhotra,Female,Information Technology,3,DevOps Engineer,Mobile Apps,Reading/Writing,> 20 LPA,0,6.14,6.74,61,2.7,8.7,3,0,0,2,1,3,1,1,Average,Mobile App Development|Network Security|Web Technologies|Cloud Computing|DevOps|Microservices Architecture,63,51,22,8,45,36,62
ENG20230026,Nisha Gupta,Female,Aerospace,6,Mission Analyst,Propulsion,Auditory,10–20 LPA,0,6.02,6.01,77,7.1,9.3,3,1,2,3,0,0,1,0,Average,Propulsion Systems|Aerodynamics|Computational Fluid Dynamics|Industrial Internship & Project Management,54,64,46,66,49,59,59
ENG20220027,Dhruv Patel,Male,Mechanical,5,R&D Engineer,Robotics,Auditory,6–10 LPA,0,5.35,5.36,50,3.0,6.4,3,0,0,0,0,4,0,0,Below Average,Fluid Mechanics|Manufacturing Processes|Product Design|Python Programming for Engineers|Academic Skill Development Workshop,21,49,39,63,51,55,51
ENG20210028,Ishita Mishra,Female,Computer Science,2,Software Engineer,Cloud Computing,Visual,3–6 LPA,0,6.63,7.06,62,5.5,9.7,3,2,0,2,2,0,0,1,Average,Cloud Computing|Cybersecurity|Machine Learning|Technical Communication & Presentation Skills,75,61,19,29,54,29,67
ENG20210029,Aditi Srivastava,Female,Aerospace,2,Avionics Engineer,Propulsion,Reading/Writing,3–6 LPA,0,4.0,4.0,79,1.3,8.0,5,1,2,1,2,3,3,2,At Risk,Computational Fluid Dynamics|Mission Analysis|Spacecraft Design|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,19,50,34,46,29,25,46
ENG20230030,Sneha Mukherjee,Female,Civil,7,Structural Engineer,Structural Design,Reading/Writing,> 20 LPA,0,4.05,4.11,100,2.8,6.1,2,2,5,1,1,0,0,0,At Risk,Environmental Engineering|Smart Infrastructure|Structural Analysis|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,22,59,10,36,50,35,48
ENG20220031,Akash Nair,Male,Electronics & Communication,4,Embedded Engineer,Signal Processing,Reading/Writing,< 3 LPA,0,5.99,5.88,85,2.2,6.6,4,0,0,1,4,0,2,3,Average,Digital Signal Processing|Optical Communications|RF Engineering|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,44,70,66,35,39,42,66
ENG20230032,Ankita Bose,Female,Electrical,7,Energy Auditor,Power Electronics,Auditory,10–20 LPA,0,6.73,6.91,73,6.7,5.9,4,0,0,0,2,5,1,0,Average,Power Systems|Renewable Energy Systems|Electric Machines|Industrial Internship & Project Management,61,57,66,42,51,58,56
ENG20230033,Aanya Menon,Female,Electrical,6,Control Systems Engineer,Smart Grid,Visual,10–20 LPA,0,4.53,4.6,72,5.9,6.9,4,3,4,0,0,1,0,2,At Risk,Control Systems|EV Engineering|Smart Grid Technology|Advanced Engineering Mathematics|Technical Communication & Presentation Skills|Academic Skill Development Workshop,49,39,39,33,37,31,49
ENG20220034,Anjali Kumar,Female,Aerospace,5,Aerospace Engineer,Propulsion,Auditory,6–10 LPA,1,6.81,6.61,90,4.3,6.6,2,4,0,1,4,0,2,2,Good,Spacecraft Design|Flight Mechanics|Propulsion Systems|Aerodynamics|Computational Fluid Dynamics,49,67,53,64,54,56,70
ENG20240035,Dev Mehta,Male,Mechanical,8,Design Engineer,Simulation,Kinesthetic,6–10 LPA,0,7.1,7.03,76,9.5,6.0,3,3,1,0,1,0,0,3,Average,Finite Element Analysis|Product Design|Robotics & Automation|Python Programming for Engineers|Critical Thinking & Problem Solving|Research Methodology & Technical Writing,39,71,45,80,56,54,44
ENG20210036,Sandhya Rajan,Female,Electrical,2,Smart Grid Engineer,Motor Drives,Auditory,< 3 LPA,0,6.41,6.31,82,4.0,5.9,4,3,0,2,2,2,0,2,Average,Power Systems|Smart Grid Technology|Control Systems|Python Programming for Engineers,43,70,56,48,37,50,46
ENG20230037,Hemant Banerjee,Male,Information Technology,6,Cybersecurity Analyst,Security,Visual,10–20 LPA,0,8.31,8.49,76,6.4,6.0,2,6,0,1,3,2,1,2,Good,Microservices Architecture|Web Technologies|Network Security|Research Methodology & Technical Writing|Industrial Internship & Project Management,74,78,41,29,65,71,74
ENG20220038,Payal Patel,Female,Mechanical,5,Manufacturing Engineer,Automotive,Kinesthetic,3–6 LPA,0,7.12,6.65,84,8.0,7.1,2,2,0,0,3,1,1,1,Good,Product Design|Robotics & Automation|Finite Element Analysis|Research Methodology & Technical Writing,48,62,37,86,45,59,52
ENG20240039,Aanya Malhotra,Female,Mechanical,8,Manufacturing Engineer,Automotive,Auditory,6–10 LPA,0,5.58,5.6,96,4.9,5.0,3,4,1,1,1,0,3,0,Average,Manufacturing Processes|Finite Element Analysis|Thermodynamics|Python Programming for Engineers|Academic Skill Development Workshop|Industrial Internship & Project Management,32,51,22,55,56,66,46
ENG20210040,Dev Mehta,Male,Computer Science,2,AI Researcher,AI/ML,Kinesthetic,6–10 LPA,1,6.08,6.06,82,6.4,6.1,3,5,3,1,1,2,2,1,Below Average,Cybersecurity|Operating Systems|Machine Learning|NLP|Deep Learning,81,58,24,42,35,47,51
ENG20220041,Anjali Sinha,Female,Information Technology,4,Product Manager,Cloud Computing,Visual,6–10 LPA,1,5.8,5.05,87,6.2,7.5,3,1,2,0,1,2,0,1,Below Average,DevOps|Network Security|Microservices Architecture|Academic Skill Development Workshop,51,61,35,14,72,56,50
ENG20220042,Krishna Mishra,Male,Civil,4,Structural Engineer,Construction Tech,Reading/Writing,< 3 LPA,0,7.53,7.98,86,10.5,7.7,5,5,0,0,3,0,2,1,Good,Smart Infrastructure|BIM|Construction Management|Python Programming for Engineers,29,65,29,70,64,47,68
ENG20210043,Namrata Chaudhary,Female,Electrical,2,Control Systems Engineer,Power Electronics,Kinesthetic,< 3 LPA,0,6.81,6.55,90,7.2,6.1,2,1,3,1,0,0,1,1,Average,Renewable Energy Systems|EV Engineering|Electric Machines,57,53,69,56,39,51,65
ENG20230044,Swati Srivastava,Female,Computer Science,7,Full Stack Developer,Gaming Tech,Visual,3–6 LPA,0,6.7,6.75,77,3.2,8.0,3,3,0,0,2,0,0,0,Average,Machine Learning|Computer Networks|Operating Systems|Web Technologies|API Design|Mobile App Development,70,40,17,27,48,33,63
ENG20230045,Suraj Ahuja,Male,Electronics & Communication,7,Telecom Engineer,IoT,Visual,6–10 LPA,0,5.72,5.25,71,6.1,7.0,4,2,0,0,0,1,0,3,Average,IoT Systems|VLSI Design|Digital Signal Processing|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,42,46,64,31,53,39,53
ENG20210046,Arjun Malhotra,Male,Computer Science,3,Full Stack Developer,Gaming Tech,Reading/Writing,< 3 LPA,0,4.71,4.71,79,1.5,7.7,4,0,1,2,2,2,0,0,Below Average,Computer Networks|Operating Systems|Data Structures & Algorithms|Web Technologies|API Design|Mobile App Development,45,38,25,2,17,37,71
ENG20220047,Rohan Naik,Male,Civil,5,Urban Planner,Construction Tech,Visual,3–6 LPA,1,7.57,7.72,81,7.3,7.2,4,3,0,0,4,2,2,0,Good,Construction Management|BIM|Structural Analysis|Python Programming for Engineers|Research Methodology & Technical Writing,31,56,37,43,77,55,48
ENG20240048,Aditya Mishra,Male,Chemical,8,Quality Engineer,Polymer Science,Kinesthetic,6–10 LPA,1,4.45,4.41,75,5.6,8.4,1,1,5,0,0,1,0,1,At Risk,Environmental Engineering|Process Control|Polymer Engineering|Python Programming for Engineers|Advanced Engineering Mathematics|Technical Communication & Presentation Skills,30,41,30,48,45,33,45
ENG20230049,Aditi Pillai,Female,Information Technology,6,DevOps Engineer,Cloud Computing,Visual,6–10 LPA,0,7.75,8.05,96,7.7,6.4,3,4,1,1,0,0,0,1,Good,Network Security|Microservices Architecture|Mobile App Development|Cloud Computing|DevOps|Research Methodology & Technical Writing,61,47,37,26,70,67,66
ENG20200050,Tanvi Reddy,Female,Electronics & Communication,1,RF Engineer,Robotics,Auditory,6–10 LPA,0,6.34,6.34,82,6.2,6.6,2,2,2,0,3,1,2,0,Average,VLSI Design|Digital Signal Processing|Optical Communications,51,60,74,32,44,56,48
ENG20210051,Siddharth Sharma,Male,Electronics & Communication,2,Telecom Engineer,VLSI Design,Reading/Writing,> 20 LPA,0,5.02,5.27,69,5.2,6.8,4,0,2,0,1,0,3,1,Below Average,5G Technology|IoT Systems|Optical Communications|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,40,61,58,18,37,33,53
ENG20240052,Rohit Menon,Male,Computer Science,8,ML Engineer,Gaming Tech,Kinesthetic,3–6 LPA,0,6.23,6.32,76,6.2,6.7,1,1,5,1,2,0,3,2,Below Average,Operating Systems|Data Structures & Algorithms|Database Management|Machine Learning|Deep Learning|Feature Engineering,64,56,31,28,37,52,69
ENG20240053,Raj Krishnan,Male,Mechanical,8,CFD Engineer,Robotics,Auditory,10–20 LPA,0,7.45,7.73,89,7.3,5.9,2,0,0,1,2,2,2,0,Good,Finite Element Analysis|Robotics & Automation|Fluid Mechanics|Python Programming for Engineers|Research Methodology & Technical Writing|Industrial Internship & Project Management,40,59,29,79,60,66,68
ENG20230054,Vikram Malhotra,Male,Chemical,6,Petroleum Engineer,Biotechnology,Kinesthetic,6–10 LPA,0,5.21,5.0,72,3.5,7.6,5,2,0,0,1,2,0,1,Below Average,Process Control|Polymer Engineering|Petroleum Refining|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,44,49,26,40,46,39,48
ENG20200055,Jyoti Menon,Female,Information Technology,1,Product Manager,Web Dev,Auditory,3–6 LPA,0,8.27,8.27,89,7.8,6.9,3,0,0,2,2,2,0,0,Good,Mobile App Development|Software Engineering|API Design,72,77,43,24,61,62,69
ENG20210056,Megha Tiwari,Female,Chemical,2,Petroleum Engineer,Green Chemistry,Kinesthetic,< 3 LPA,0,6.16,6.51,43,9.2,5.9,5,5,1,2,0,0,0,0,Below Average,Process Control|Green Chemistry|Mass Transfer|Python Programming for Engineers,44,60,35,62,35,51,58
ENG20220057,Varun Pillai,Male,Civil,5,Project Manager,Urban Planning,Kinesthetic,6–10 LPA,0,6.08,5.95,88,5.0,6.5,1,0,1,1,1,2,3,0,Average,Geotechnical Engineering|Construction Management|Environmental Engineering|Python Programming for Engineers|Advanced Engineering Mathematics|Technical Communication & Presentation Skills,37,43,42,63,60,44,44
ENG20210058,Deepak Menon,Male,Chemical,2,Petroleum Engineer,Process Control,Reading/Writing,< 3 LPA,0,5.95,6.42,100,4.3,7.8,2,1,2,0,3,1,1,0,Average,Reaction Engineering|Process Control|Mass Transfer|Python Programming for Engineers|Academic Skill Development Workshop,33,65,29,40,45,51,56
ENG20240059,Sahil Ahuja,Other,Biomedical,8,Neural Engineer,Medical Imaging,Reading/Writing,< 3 LPA,0,6.27,6.42,77,6.1,6.0,5,4,1,0,2,4,0,1,Average,Bioinformatics|Medical Imaging|Neural Engineering|Python Programming for Engineers|Industrial Internship & Project Management,38,78,56,34,52,52,71
ENG20230060,Aarav Chopra,Male,Computer Science,6,AI Researcher,Cloud Computing,Kinesthetic,< 3 LPA,0,6.12,6.18,82,3.6,7.6,2,4,0,1,4,1,3,1,Average,Operating Systems|Cloud Computing|Database Management|Machine Learning|NLP|Deep Learning,73,50,36,36,58,47,56
ENG20220061,Aditya Rajan,Other,Information Technology,4,DevOps Engineer,Security,Reading/Writing,3–6 LPA,0,5.23,5.34,50,4.7,6.1,3,4,2,0,1,0,0,1,Below Average,Network Security|Software Engineering|DevOps|Cloud Computing|Microservices Architecture|Advanced Engineering Mathematics,65,43,32,15,51,46,57
ENG20240062,Alisha Nair,Female,Computer Science,8,ML Engineer,AI/ML,Kinesthetic,10–20 LPA,0,4.94,4.93,70,3.8,5.5,1,1,2,2,0,3,1,2,Below Average,Cybersecurity|Data Structures & Algorithms|Machine Learning|Deep Learning|Feature Engineering|Advanced Engineering Mathematics,55,42,15,22,28,37,59
ENG20220063,Kartik Das,Other,Information Technology,4,Product Manager,Web Dev,Auditory,6–10 LPA,1,4.85,4.57,90,4.8,6.2,3,0,3,0,0,1,0,1,Below Average,Microservices Architecture|Software Engineering|API Design|Academic Skill Development Workshop,48,51,34,13,40,55,55
ENG20200064,Rishabh Shah,Male,Chemical,1,Process Engineer,Petroleum,Reading/Writing,6–10 LPA,0,5.49,5.49,69,6.0,4.8,4,3,1,1,2,0,1,0,Below Average,Reaction Engineering|Green Chemistry|Environmental Engineering|Python Programming for Engineers|Academic Skill Development Workshop,15,67,30,50,38,61,59
ENG20220065,Shubham Srivastava,Male,Computer Science,4,AI Researcher,Cybersecurity,Visual,3–6 LPA,1,6.05,6.06,62,6.5,5.8,3,0,0,0,2,1,1,0,Average,Cybersecurity|Machine Learning|Computer Networks|NLP|Deep Learning|Technical Communication & Presentation Skills,63,58,33,15,50,40,64
ENG20240066,Kabir Chopra,Male,Computer Science,8,AI Researcher,AI/ML,Reading/Writing,< 3 LPA,0,5.53,5.48,85,6.1,5.1,4,0,4,0,0,2,1,0,Below Average,Cybersecurity|Operating Systems|Data Structures & Algorithms|Machine Learning|NLP|Deep Learning,56,44,23,16,51,39,65
ENG20210067,Priyanka Rao,Female,Mechanical,3,R&D Engineer,Aerospace,Auditory,6–10 LPA,0,4.92,4.68,64,6.5,7.0,4,2,5,0,1,3,2,0,At Risk,Fluid Mechanics|Finite Element Analysis|Product Design|Python Programming for Engineers|Academic Skill Development Workshop,36,48,26,55,41,58,47
ENG20240068,Nandini Subramanian,Female,Mechanical,8,Manufacturing Engineer,Simulation,Visual,> 20 LPA,0,5.69,5.25,47,6.8,5.4,4,2,0,0,0,1,1,1,Below Average,Robotics & Automation|CAD/CAM|Fluid Mechanics|Python Programming for Engineers|Critical Thinking & Problem Solving|Academic Skill Development Workshop,39,53,41,78,57,47,37
ENG20220069,Rishabh Chakraborty,Male,Mechanical,4,R&D Engineer,3D Printing,Reading/Writing,3–6 LPA,0,7.54,7.21,83,8.1,6.7,3,2,0,2,3,1,0,0,Good,Product Design|Thermodynamics|Fluid Mechanics|Python Programming for Engineers|Technical Communication & Presentation Skills,31,63,40,76,63,40,65
ENG20230070,Nikhil Tiwari,Male,Electronics & Communication,6,Embedded Engineer,IoT,Auditory,6–10 LPA,0,6.26,5.68,84,4.0,7.3,5,2,0,0,2,1,0,1,Average,Digital Signal Processing|IoT Systems|VLSI Design|Python Programming for Engineers|Industrial Internship & Project Management,43,52,57,30,41,65,49
ENG20210071,Lavanya Khanna,Female,Civil,3,Structural Engineer,Smart Cities,Reading/Writing,< 3 LPA,1,5.15,4.89,63,10.1,8.2,3,1,5,0,1,0,0,3,At Risk,Environmental Engineering|BIM|Smart Infrastructure|Python Programming for Engineers|Academic Skill Development Workshop,31,55,41,57,66,54,64
ENG20200072,Aman Agarwal,Male,Computer Science,1,Full Stack Developer,Web Development,Visual,6–10 LPA,0,6.26,6.26,80,5.9,6.1,3,1,2,1,2,1,1,0,Average,Cybersecurity|Computer Networks|Data Structures & Algorithms|Web Technologies|API Design|Mobile App Development,60,56,29,25,45,45,63
ENG20200073,Siddharth Iyer,Male,Mechanical,1,R&D Engineer,Automotive,Auditory,6–10 LPA,0,6.61,6.61,57,8.2,8.1,4,2,0,1,0,2,0,2,Average,Product Design|Fluid Mechanics|Manufacturing Processes|Python Programming for Engineers|Critical Thinking & Problem Solving,39,65,55,71,49,59,42
ENG20200074,Sahil Khanna,Male,Computer Science,1,Software Engineer,Cloud Computing,Visual,10–20 LPA,0,7.69,7.69,65,7.6,5.9,2,4,0,2,1,3,0,3,Good,Computer Networks|Machine Learning|Operating Systems,74,57,22,28,70,60,71
ENG20220075,Chandni Tiwari,Female,Electronics & Communication,4,Telecom Engineer,VLSI Design,Visual,6–10 LPA,0,6.4,6.18,76,8.2,6.3,5,1,1,0,0,2,0,2,Average,5G Technology|Digital Signal Processing|VLSI Design,55,54,82,33,58,55,65
ENG20230076,Rahul Krishnan,Male,Information Technology,6,Full Stack Developer,Mobile Apps,Visual,10–20 LPA,0,6.41,6.73,71,4.6,6.6,2,1,1,0,0,0,0,1,Average,DevOps|API Design|Web Technologies|Mobile App Development|Industrial Internship & Project Management,45,50,28,24,57,65,55
ENG20230077,Aman Chakraborty,Male,Information Technology,6,API Engineer,DevOps,Reading/Writing,6–10 LPA,0,4.89,4.94,53,3.9,6.0,3,2,2,1,1,3,1,1,Below Average,API Design|Microservices Architecture|Network Security|Technical Communication & Presentation Skills|Academic Skill Development Workshop|Industrial Internship & Project Management,62,45,17,15,42,39,71
ENG20230078,Sahil Rajan,Male,Civil,6,BIM Manager,Sustainability,Auditory,> 20 LPA,0,6.38,6.35,89,4.5,7.1,4,5,0,0,2,2,2,0,Average,Construction Management|Environmental Engineering|Transportation Engineering|Python Programming for Engineers|Industrial Internship & Project Management,38,54,23,56,60,49,47
ENG20230079,Isha Jain,Female,Electrical,6,Control Systems Engineer,Motor Drives,Visual,3–6 LPA,0,5.71,5.87,49,4.3,8.5,1,4,0,3,2,3,0,3,Average,Power Electronics|EV Engineering|Smart Grid Technology|Python Programming for Engineers|Technical Communication & Presentation Skills|Academic Skill Development Workshop,41,50,47,28,45,43,47
ENG20230080,Jatin Chopra,Male,Data Science,7,Data Scientist,Research,Reading/Writing,> 20 LPA,0,6.24,6.24,69,4.2,8.0,2,4,0,1,3,2,0,1,Average,Data Visualization|Deep Learning|Time Series Analysis|Statistical Learning|Big Data Analytics|Industrial Internship & Project Management,64,81,25,13,30,53,64
ENG20200081,Sahil Jain,Male,Aerospace,1,Systems Engineer,Propulsion,Kinesthetic,10–20 LPA,0,6.04,6.04,94,6.9,4.7,3,0,2,2,2,0,3,0,Average,Spacecraft Design|Flight Mechanics|Computational Fluid Dynamics,59,74,39,59,60,52,56
ENG20220082,Mayank Reddy,Male,Information Technology,4,Full Stack Developer,Web Dev,Auditory,10–20 LPA,0,5.63,4.97,65,3.6,6.3,4,0,0,2,0,2,1,1,Average,Network Security|API Design|Microservices Architecture|Web Technologies|Mobile App Development|Academic Skill Development Workshop,58,55,20,16,46,55,56
ENG20240083,Ankit Mehta,Male,Information Technology,8,Full Stack Developer,Web Dev,Reading/Writing,3–6 LPA,0,5.82,5.98,68,3.2,8.1,4,4,0,0,1,3,2,3,Average,API Design|Mobile App Development|Microservices Architecture|Web Technologies|Technical Communication & Presentation Skills|Academic Skill Development Workshop,53,64,37,23,44,41,51
ENG20220084,Aarav Nair,Male,Computer Science,5,Software Engineer,Cybersecurity,Visual,< 3 LPA,0,5.05,4.98,76,2.8,6.5,2,0,3,0,2,0,0,2,Below Average,Data Structures & Algorithms|Computer Networks|Machine Learning|Technical Communication & Presentation Skills|Academic Skill Development Workshop,52,59,11,16,54,14,54
ENG20210085,Amit Mukherjee,Male,Electrical,2,Control Systems Engineer,Smart Grid,Visual,10–20 LPA,0,7.33,7.91,85,7.5,7.4,1,4,1,1,1,0,2,0,Good,Electric Machines|EV Engineering|Renewable Energy Systems|Python Programming for Engineers,41,56,71,49,49,57,65
ENG20210086,Kabir Kaur,Male,Electronics & Communication,3,VLSI Engineer,5G Networks,Reading/Writing,3–6 LPA,1,7.13,7.14,87,5.3,7.1,2,0,0,0,1,5,1,2,Good,Optical Communications|Embedded Systems|IoT Systems|VLSI Design|Digital Signal Processing,53,62,71,44,46,47,65
